"File Path","Type","Title","Artist","Album","Year","Duration","Bitrate","Sample Rate","Channels","Bits per Sample"
"/home/ali/Downloads/BABY I M BACK - The Kid LAROI.m4a","M4A","BABY I'M BACK","The Kid LAROI","THE FIRST TIME (DELUXE VERSION)","20240808","171.26 seconds","128 kbps","N/A","N/A","N/A"
"/home/ali/Downloads/RapiWar - Base Dige - Sogand.mp3","MP3","Base Dige","Sogand","Unknown","Unknown","N/A","N/A","N/A","N/A","N/A"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/pcmwaveformat-24bit-4byte-48kHz-stereo.wav","WAV","pcmwaveformat-24bit-4byte-48kHz-stereo","N/A","N/A","N/A","0.00 seconds","N/A","48000","2","24"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatextensible-32bit-48kHz-stereo.wav","WAV","waveformatextensible-32bit-48kHz-stereo","N/A","N/A","N/A","0.00 seconds","N/A","48000","2","32"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatex-ieeefloat-44100Hz-mono.wav","WAV","waveformatex-ieeefloat-44100Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","32"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatextensible-24bit-4byte-48kHz-stereo.wav","WAV","waveformatextensible-24bit-4byte-48kHz-stereo","N/A","N/A","N/A","0.00 seconds","N/A","48000","2","24"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/pcmwaveformat-16bit-44100Hz-mono-extra.wav","WAV","pcmwaveformat-16bit-44100Hz-mono-extra","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/pop.wav","WAV","pop","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/nonstandard-01.wav","WAV","nonstandard-01","N/A","N/A","N/A","0.00 seconds","N/A","48000","2","24"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatex-16bit-44100Hz-mono-extra.wav","WAV","waveformatex-16bit-44100Hz-mono-extra","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatex-16bit-44100Hz-stereo.wav","WAV","waveformatex-16bit-44100Hz-stereo","N/A","N/A","N/A","0.00 seconds","N/A","44100","2","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/nonstandard-02.wav","WAV","nonstandard-02","N/A","N/A","N/A","0.00 seconds","N/A","48000","2","32"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatex-8bit-11025Hz-mono.wav","WAV","waveformatex-8bit-11025Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","11025","1","8"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/pcmwaveformat-8bit-44100Hz-mono.wav","WAV","pcmwaveformat-8bit-44100Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","8"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/pcmwaveformat-16bit-44100Hz-mono.wav","WAV","pcmwaveformat-16bit-44100Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatextensible-ieeefloat-44100Hz-mono.wav","WAV","waveformatextensible-ieeefloat-44100Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","32"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatex-16bit-44100Hz-mono.wav","WAV","waveformatex-16bit-44100Hz-mono","N/A","N/A","N/A","0.00 seconds","N/A","44100","1","16"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/hound-3.5.1/testsamples/waveformatextensible-24bit-192kHz-mono.wav","WAV","waveformatextensible-24bit-192kHz-mono","N/A","N/A","N/A","0.00 seconds","N/A","192000","1","24"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/mp4ameta-0.11.0/files/sample-multi-data.m4a","M4A","TEST TITLE","ARTIST 1","TEST ALBUM","2013","0.49 seconds","64 kbps","N/A","N/A","N/A"
"/home/ali/.cargo/registry/src/index.crates.io-6f17d22bba15001f/mp4ameta-0.11.0/files/sample.m4a","M4A","TEST TITLE","TEST ARTIST","TEST ALBUM","2013","0.49 seconds","64 kbps","N/A","N/A","N/A"
